	Last updated on 23/10/2024	
1133	1101131000000105	General practice (organisation) (qualifier value)
1134	185754009	Diabetes monitoring declined (situation)
1135	699237001	Consent given for communication by SMS
1136	986781000000101	Royal Air Force veteran (finding)
1137	713217002	Education about epilepsy and driving (procedure)
1138	748121000000101	Frailty needs assessment declined (situation)
1139	1325081000000107	Assessment using COVID-19 Yorkshire Rehabilitation Screening tool
1140	276361009	Waist circumference (observable entity)
1141	185008008	Medical reports sent (finding)
1142	420038007	Feeling unhappy (finding)
1143	886251000000109	Education to carer about side effects of child immunisation (procedure)
1144	225397006	Skin assessment (procedure)
1145	315567002	Main spoken language Bengali
1146	1324781000000109	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination first dose not given
1147	1362681000000104	SARS-CoV-2 booster course started
1148	762883008	Informed of reason for referral
1149	717051000000101	Excepted from mental health quality indicators - informed dissent
1150	1162735000	Self reported diastolic blood pressure (observable entity)
1151	304387004	Pill Check
1152	366371000000105	Brief intervention for excessive alcohol consumption completed
1153	395667001	Progestogen only oral contraceptive education (procedure)
1154	1239431000000107	Cancer safety netting
1155	171285001	No consent - pre-school vaccinations
1156	308411004	Child immunisation recall
1157	170635006	Asthma not disturbing sleep
1158	912721000000100	Long term condition care planning invitation second letter
1159	185337004	Failed encounter – no answer when rang back
1160	380201000000109	Referral to improving access to psychological therapies programme (procedure)
1161	310088004	Community-based podiatry service
1162	170608002	Initial respiratory assessment (regime/therapy)
1163	944601000000104	On National Health Service Organ Donor Register (finding)
1164	870589006	Acute kidney injury due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
1165	202061000000107	Epilepsy monitoring call 1st letter
1166	202001000000108	Health care services information leaflet given
1167	263897001	Feeling tense (finding)
1168	844981000000106	Influenza vaccination invitation second email (procedure)
1169	309687009	Buddhist
1170	923461000000103	Lifestyle education for diabetes
1171	905301000000103	Childhood Asthma Control Test score
1172	63901009	Pain in testicle (finding)
1173	720378001	Patient advised medication may affect driving (situation)
1174	806041000000103	Provision of advice about taking paracetamol
1175	285055002	Does use hearing aid
1176	777441000000102	Express dissent for SCR (Summary Care Record) dataset upload
1177	169477005	Intrauterine contraceptive device fitted (finding)
1178	161825005	Appetite normal (finding)
1179	66857006	Haemoptysis
1180	783481000000106	Stop smoking invitation third short message service text message
1181	866641000000105	Pertussis vaccination in pregnancy declined (situation)
1182	343911000000104	Contraceptive check third letter
1183	91936005	Allergy to Penicillin
1184	1366141000000101	Registration for General Medical Services offered (situation)
1185	228279004	Very heavy drinker
1186	1484851000000109	Influenza vaccination invitation third short message service text message sent (situation)
1187	306206005	Referral to service (procedure)
1188	881191000000104	Request for individual funding granted
1189	700449008	Non-diabetic hyperglycaemia
1190	127783003	Spirometry
1191	162542007	Cooks for himself or herself (finding)
1192	204751000000101	Reads Kurdish
1193	275972003	Cholesterol screening (procedure)
1194	160906004	Self-employed (finding)
1195	1110861000000102	QOF COPD quality indicator-related care invitation
1196	442284008	Education about anticoagulant therapy
1197	719393008	Does use photographs for communication (finding)
1198	25064002	Headache (finding)
1199	927231000000102	Measles mumps and rubella booster vaccination invitation second letter (procedure)
1200	373808002	Curative - procedure intent (qualifier value)
1201	134318003	Using lip reading
1202	271771009	Joint swelling (finding)
1203	976791000000107	Asian or Asian British: Indian - England and Wales ethnic category 2011 census
1204	247971000000106	Discussion about complication of treatment with patient (procedure)
1205	987891000000105	Problem related to lifestyle (finding)
1206	171126009	Tuberculosis screening (procedure)
1207	976731000000106	Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census
1208	712781000000107	Learning disability annual health check invitation first letter
1209	228367002	Does not misuse drugs (situation)
1210	1321771000000105	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgA detection result equivocal
1211	275981000000102	Did not attend breast screening clinic (finding)
1212	182888003	Medication requested
1213	2004005	Normal blood pressure (finding)
1214	315568007	Main spoken language Cantonese
1215	407656004	Main spoken language Lithuanian (finding)
1216	1083401000000103	Signposting to food bank
1217	1751061000000103	Mental health triage (procedure)
1218	233604007	Pneumonia
1219	716001000000100	Lipid disorder monitoring first letter
1220	822701000000109	Has authorisation for medication under PSD (patient specific direction)
1221	129691005	At risk for constipation (finding)
1222	276039008	No caregiver (finding)
1223	804971000000100	Hypoglycaemic management discussed
1224	91934008	Allergy to nut (finding)
1225	135797000	Lipid lowering therapy indicated (situation)
1226	716961000000102	Depression monitoring third letter
1227	413605002	Average home diastolic blood pressure
1228	940241000000105	Tetanus, diphtheria, inactivated polio vaccination invitation
1229	515691000000108	Rheumatic disorder annual review invitation
1230	741055004	Education about child immunization (procedure)
1231	519851000000103	Assessment using Simon Broome diagnostic criteria for familial hypercholesterolaemia
1232	798911000000101	Advice about risk of hormone replacement therapy
1233	366421000000103	Extended intervention for excessive alcohol consumption completed (situation)
1234	271825005	Respiratory distress
1235	394701000	Asthma follow-up (regime/therapy)
1236	1321111000000101	COVID-19 excluded by laboratory test
1237	166830008	Raised cholesterol
1238	394867009	Health administration (procedure)
1239	394726009	Seborrheic keratosis (disorder)
1240	185831009	Well adult monitoring second letter
1241	18381000000107	Sickness certificates (record artifact)
1242	312864006	Religion not recorded
1243	307126008	Unable to write (finding)
1244	336071000000104	Advised to attend minor injuries unit (situation)
1245	1.24052E+15	Otitis media due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
1246	288227007	Myalgia/myositis - upper arm (finding)
1247	868071000000106	Second measles mumps rubella immunisation invitation second letter (procedure)
1248	1321631000000103	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgM detection result equivocal
1249	68566005	Urinary tract infectious disease (disorder)
1250	182885000	Medication satisfactory (finding)
1251	755041000000102	Health visitor new birth visit (procedure)
1252	230821000000102	Rehabilitation for musculoskeletal disorders
1253	222711000000102	Choice and booking enhanced services administration (procedure)
1254	921201000000100	Brief intervention (procedure)
1255	286261000000101	SMS text message received from patient
1256	1068881000000101	eConsultation via online application
1257	200041000000107	Mental health information leaflet given
1258	413672003	Blood test requested
1259	312856000	Referral to diabetes nurse (procedure)
1260	103228002	Blood oxygen saturation
1261	275306006	Postnatal data (finding)
1262	698530005	Education about safe storage and management of medication (procedure)
1263	185535006	Telephone invite to screening (procedure)
1264	896071000000107	Herpes zoster vaccination invitation SMS text message
1265	956861000000107	Dementia care plan reviewed (situation)
1266	390869002	Inhaler technique - moderate (finding)
1267	704408003	Invitation for diabetes screening
1268	867731000000108	Second Primary Immunisation Invitation first letter
1269	1324581000000102	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result negative
1270	781561000000102	Batch prescription issued
1271	162755006	O/E - height
1272	867471000000103	Child immunisation invitation third SMS text message
1273	698463001	At increased risk of chronic kidney disease (finding)
1274	203241000000107	Uses wheelchair indoors
1275	34486009	Hyperthyroidism (disorder)
1276	185333000	Appointment cancelled by doctor
1277	183895000	Private referral to general physician (procedure)
1278	1324841000000108	Did not attend for second dose of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccine
1279	415803005	Uses British sign language (finding)
1280	310426008	Hormone replacement monitoring invitation
1281	200591000000105	Chlamydia test offered
1282	170828001	Blood disorder monitoring (regime/therapy)
1283	936661000000109	Requires information in contracted grade 2 braille
1284	271594007	Syncope (disorder)
1285	492861000000101	Referral to health trainer (procedure)
1286	315020006	Beta blocker therapy declined (situation)
1287	160618006	Current non-smoker (finding)
1288	160402005	Family history: Diabetes in pregnancy (situation)
1289	417532002	Allergy to fish (finding)
1290	160637002	Aerobic exercise once a week (finding)
1291	171121004	HIV Screening
1292	836541000000100	Patient health questionnaire 2 score (observable entity)
1293	266924008	Ex-heavy smoker cigarette (20-39/day)
1294	134270004	Reads Spanish
1295	871691000000100	Social prescribing offered
1296	198421000000108	Hazardous alcohol use (finding)
1297	870577009	At increased risk of exposure to SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
1298	839781000000108	Falls risk assessment tool (assessment scale)
1299	165245003	Independent walking (finding)
1300	198431000000105	Harmful alcohol use (finding)
1301	1049701000000101	Gastrointestinal protection therapy declined (situation)
1302	391123006	Medical Research Council Breathlessness Scale grade 2
1303	43783005	Moderate drinker
1304	983821000000103	Out of area registration, in-hours urgent primary medical care ESA (enhanced services administration)
1305	21811000000108	Video loaned to patient
1306	185549002	Initial Patient recall
1307	29857009	Chest pain (finding)
1308	390791001	Referral for echocardiography (procedure)
1309	190633005	Folic acid deficiency
1310	319951000000105	Consent given to share patient data with specified third party
1311	386523003	Self-harm behavior management (regime/therapy)
1312	1097361000000103	Signposting to Early Help Service (procedure)
1313	976931000000109	Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census
1314	516891000000101	Attention deficit hyperactivity disorder monitoring invitation second letter (procedure)
1315	394702007	Chronic obstructive pulmonary disease follow-up (regime/therapy)
1316	1053421000000101	Personal Wellbeing Score rating - I am satisfied with my life (observable entity)
1317	185645001	Oral contraceptive check - first call
1318	314828009	Epilepsy control poor (finding)
1319	868051000000102	Second measles mumps rubella immunisation invitation first letter (procedure)
1320	390891009	Chronic obstructive pulmonary disease monitoring (regime/therapy)
1321	1.11085E+15	QOF Atrial fibrillation quality indicator-related care invitation
1322	307721000000108	Review of impaired glucose tolerance (procedure)
1323	391124000	Medical Research Council Breathlessness Scale grade 3
1324	978981000000109	Provision of information about health visitor service (procedure)
1325	439430008	At low risk for fall (finding)
1326	370208006	Asthma never causes daytime symptoms
1327	922451000000105	Telehealth monitoring invitation
1328	224213000	Lives in rented accommodation (finding)
1329	24184005	Finding of increased blood pressure (finding)
1330	185332005	Appointment cancelled by patient
1331	1084071000000104	Signposting to general practitioner (procedure)
1332	704497002	Uses British Sign Language Interpreter
1333	184061005	Registration status
1334	185341000	Failed encounter – phone number unobtainable
1335	160937004	Houseowner with mortgage (finding)
1336	1833271000000103	Review of Reasonable Adjustments needs (procedure)
1337	705025004	Consent given for communication by email (finding)
1338	978071000000106	Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census
1339	716991000000108	Dementia monitoring telephone invitation
1340	836001000000109	Waterpipe tobacco consumption (observable entity)
1341	417284009	Current drug user (finding)
1342	975171000000102	Signposting to resource (procedure)
1343	161148002	Speaks English poorly (finding)
1344	183831007	Refer for ultrasound investigation
1345	314503007	Did not attend hospital
1346	878401000000104	No family history of malignant tumour of prostate (situation)
1347	160545000	Hindu
1348	713811000000100	Chronic Kidney Disease monitoring administration
1349	415291006	Repeat dispensing at designated pharmacy
1350	1290331000000103	Online access to own health record declined by patient (situation)
1351	171316007	Geriatric 75 year screening (procedure)
1352	374591000000101	Chronic obstructive pulmonary disease enhanced services administration (procedure)
1353	1007881000000101	Urine dipstick test (observable entity)
1354	445531003	Asthma control questionnaire (assessment scale)
1355	309625004	Referral to psychology service (procedure)
1356	185687004	Adult immunization - third call (procedure)
1357	9691000175102	Herpes zoster vaccination declined
1358	977431000000100	Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census
1359	945951000000108	Requires visual alert
1360	1108191000000103	Requires wheelchair access (finding)
1361	306814005	Investigation results education
1362	394689005	At moderate risk for primary heart disease (finding)
1363	160540005	Roman Catholic
1364	292508471000119105	History of disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
1365	961331000000105	Session Feedback Questionnaire
1366	224699009	Study (environment)
1367	1363201000000103	Invitation for structured medication review
1368	414671002	Mental health monitoring third letter
1369	311791003	Information gathering
1370	894821000000107	Spirometry screening invitation (procedure)
1371	185599003	Cervical smear - 1st call
1372	288583009	Does use non-verbal communication (finding)
1373	756241000000101	Well-being assessment for long term conditions declined
1374	752301000000106	Coeliac disease monitoring invitation first letter
1375	198241000000100	Consent given for minor surgery procedure (finding)
1376	160606002	Very heavy cigarette smoker (40+ cigs/day)
1377	408519004	Main spoken language Thai (finding)
1378	169082008	MRI scan normal
1379	1853781000000107	Declined consent to upload data to Reasonable Adjustment Digital Flag (finding)
1380	420913000	New York Heart Association Classification - class III
1381	1325171000000109	Acute COVID-19 infection
1382	160639004	Aerobic exercise three or more times per week (finding)
1383	1104631000000101	Screening offered (situation)
1384	307541003	Lower urinary tract symptoms (finding)
1385	1322841000000103	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgA detection result indeterminate
1386	719754002	Does use symbols for communication (finding)
1387	1053441000000108	Personal Wellbeing Score rating - I was happy yesterday (observable entity)
1388	224133007	Lives with family (finding)
1389	160729004	Lives in sheltered housing (finding)
1390	39115711000001107	COVID-19 mRNA Vaccine BNT162b2 30micrograms/0.3ml dose concentrate for suspension for injection multidose vials (Pfizer-BioNTech) (Pfizer-BioNTech) 5 dose (product)
1391	928511000000107	Asthma monitoring invitation email (procedure)
1392	867791000000109	Third Primary Immunisation Invitation first letter
1393	1085291000000105	Signposting to optician
1394	34436003	Blood in urine (finding)
1395	171027002	Contraceptive implant education
1396	20430005	Heterosexual (finding)
1397	394936006	Osteoporosis health education (procedure)
1398	310425007	Diabetes monitoring invitation (procedure)
1399	971801000000103	Reads Malayalam
1400	415269004	Referral to diabetes preconception counseling clinic (procedure)
1401	79890006	Loss of appetite
1402	134276005	Reads Polish
1403	427970008	Subclinical hyperthyroidism (disorder)
1404	978111000000100	Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census
1405	523281000000104	NHS Health Check invitation first letter
1406	866152006	Thrombocytopenia due to SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
1407	201211000000107	Asthma trigger - emotion
1408	1321591000000103	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgG detection result equivocal
1409	959401000000101	Asthma monitoring SMS text message first invitation
1410	1464661000000106	Discussion about real-time continuous glucose monitoring (procedure)
1411	170609005	Follow-up respiratory assessment (regime/therapy)
1412	301961000000107	Intake of fruit and vegetables at least five portions daily (finding)
1413	183877003	Private Referral
1414	492781000000101	Health visitor child 9 to 12 month contact (procedure)
1415	161922009	No cough (situation)
1416	39301311000001102	COVID-19 Vaccine AstraZeneca (ChAdOx1 S [recombinant]) 5x10,000,000,000 viral particles/0.5ml dose solution for injection multidose vials (AstraZeneca UK Ltd) 100 dose 10 x 10 dose vials (product)
1417	714701000000105	Prevention administration (record artifact)
1418	936581000000101	Requires information by email
1419	711121000000102	Steroid treatment card issued
1420	1403011000000103	Referral to National Health Service Tier 3 specialist weight management service (procedure)
1421	896011000000102	Herpes zoster vaccination invitation first letter
1422	1362651000000105	SARS-COV-2 (severe acute respiratory syndrome coronavirus 2) protection maintenance course declined
1423	266922007	Ex-light cigarette smoker (1-9/day)
1424	373251000000108	No response to bowel cancer screening programme invitation
1425	1.12941E+15	Canadian Study of Health and Aging Clinical Frailty Scale level 9 - terminally ill (finding)
1426	268525008	High risk drug monitoring (regime/therapy)
1427	959761000000109	Thyroid monitoring SMS text message second invitation
1428	266897007	Family history of myocardial infarction
1429	375421000000101	Cardiovascular disease risk assessment invitation
1430	298345007	Does not fall (finding)
1431	267076002	Feeling lonely (finding)
1432	863161000000108	Peripheral vascular disease monitoring third letter (procedure)
1433	160625004	Date ceased smoking
1434	769390009	World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale (assessment scale)
1435	278365007	Anticoagulant-induced bleeding (disorder)
1436	950331000000105	Pneumococcal vaccination invitation SMS text message sent
1437	302757007	Regular periods (finding)
1438	505761000000105	Ex-smoker annual review
1439	716771000000106	Excepted from hypertension quality indicators - informed dissent (finding)
1440	143441000000104	Quality and Outcomes Framework rheumatoid arthritis quality indicator-related care invitation using preferred method of communication
1441	183102005	Practice leaflet sent
1442	977771000000105	Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census
1443	804191000000103	Community DMARD monitoring telephone invitation
1444	1066931000000108	Diabetes monitoring SMS text message third invitation
1445	13197004	Uses contraception (finding)
1446	266923002	Ex-moderate cigarette smoker (10-19/day)
1447	182991002	Treatment given (situation)
1448	185659008	Adult abnormal - First recall (procedure)
1449	171434007	Health promotion
1450	1.91489E+15	Diagnostic assessment for attention deficit hyperactivity disorder (procedure)
1451	134379001	Peripheral vascular disease monitoring
1452	275937001	Family history of cancer (situation)
1453	1083381000000103	Cervical smear screening email invitation
1454	341491000000101	Appointment cancelled by service
1455	394681008	On examination - Left diabetic foot at moderate risk (finding)
1456	716491000000100	Excepted from asthma quality indicators - informed dissent
1457	674814021000119106	Acute respiratory distress syndrome due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
1458	736013005	Body Weight measurement declined
1459	716901000000101	COPD monitoring telephone invitation
1460	162116003	Increased frequency of urination
1461	185657005	Adult screening - third recall (procedure)
1462	325921000000107	Consultation via video conference
1463	325871000000103	Remote consultation encounter type (record artifact)
1464	308050009	Administrator - top (occupation)
1465	143411000000100	Quality and Outcomes Framework heart failure quality indicator-related care invitation using preferred method of communication
1466	365112008	Finding of walking aid use (finding)
1467	1107671000000106	Hepatitis C screening offered (situation)
1468	976851000000107	Asian or Asian British: Chinese - England and Wales ethnic category 2011 census
1469	714521000000106	Chronic disease administration
1470	185534005	Letter invite to screening
1471	1561000000101	Advised to apply for free prescription (situation)
1472	185732007	Asthma monitoring call 2nd letter
1473	168436000	Cervical smear: colposcopy needed (situation)
1474	105526001	Homeless family (finding)
1475	143461000000103	Quality and Outcomes Framework smoking quality indicator-related care invitation using preferred method of communication
1476	185600000	Cervical smear - 2nd call
1477	77692006	Hypersomnia (disorder)
1478	444512003	Carries adrenaline pre-loaded injection pen
1479	49882001	Viral exanthem
1480	183838001	Referral for ECG
1481	792871000000101	Has anticipatory care plan
1482	160629005	Exercise physically impossible (finding)
1483	161152002	Social problem (finding)
1484	718087004	QRISK2 cardiovascular disease 10 year risk score
1485	164791003	Helicobacter pylori breath test (procedure)
1486	986591000000105	Active serving member of the Royal Navy Reserve (occupation)
1487	228446001	Gets little exercise (finding)
1488	1771771000000105	Lung health check invitation (procedure)
1489	160562005	Pentecostalist, follower of religion (person)
1490	1.10371E+15	Human immunodeficiency virus (HIV) test offered
1491	64988008	Sunni muslim
1492	382551000000109	Pneumococcal vaccination given by other healthcare provider (finding)
1493	977201000000107	Recommendation to self-refer for diabetes structured education (procedure)
1494	438765003	Human papillomavirus vaccination declined (situation)
1495	195967001	Asthma
1496	248341000000100	Hypothyroidism monitoring telephone invitation
1497	39115011000001105	COVID-19 Vaccine AstraZeneca (ChAdOx1 S [recombinant]) 5x10,000,000,000 viral particles/0.5ml dose solution for injection multidose vials (AstraZeneca UK Ltd) 8 dose (product)
1498	932361000000102	Provision of written information about access to Patient Facing Service
1499	3.92144E+16	Generic COVID-19 mRNA Vaccine BNT162b2 30micrograms/0.3ml dose concentrate for suspension for injection multidose vials (Pfizer-BioNTech) 975 dose (product)
1500	756181000000103	Well-being assessment for long term condition offered
1501	1331000000103	Med3 certificate issued to patient
1502	512501000000109	Breast screening offered
1503	228158008	Walking disability (finding)
1504	286051000000109	Married/civil partner (finding)
1505	762811000000109	Did not attend diabetes foot screening
1506	16090571000119109	Occupational exposure to toxic agents (event)
1507	184103008	Patient mobile telephone number
1508	185561000000109	Letter actioned by general practitioner (finding)
1509	835231000000104	Declined consent for communication by email
1510	445512009	Calcification of coronary artery (disorder)
1511	275928001	Drugs - partial non-compliance (finding)
1512	135839007	Sample rejected (finding)
1513	247641000000105	Second pneumococcal conjugated vaccination (procedure)
1514	959441000000103	Asthma monitoring SMS text message third invitation
1515	907971000000102	Accident prevention education (procedure)
1516	785889008	Nicotine-filled electronic cigarette user (finding)
1517	867771000000105	Second Primary Immunisation Invitation third letter
1518	705072004	Diabetes monitoring invitation by SMS
1519	414285001	Allergy to food (finding)
1520	977911000000103	White: Scottish - Scotland ethnic category 2011 census
1521	717751000000104	Chronic kidney disease monitoring second letter
1522	270426007	Did not attend - no reason
1523	185690005	Adult immunization - second recall (procedure)
1524	1084461000000101	Signposting to community pharmacy
1525	976831000000100	Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census
1526	24431000000100	message given to patient
1527	719329004	Medication review done by pharmacist (situation)
1528	1111651000000109	Appointment rescheduled by service (finding)
1529	185601001	Cervical smear - 3rd call
1530	815111000000108	Patient participation group invitation letter
1531	444136005	Maternal postnatal examination done (situation)
1532	711124002	Provision of patient satisfaction questionnaire
1533	391120009	Medical Research Council Breathlessness Scale grade 1
1534	184172002	Patient deregistered by general practitioner
1535	407659006	Main spoken language Ukrainian (finding)
1536	722396000	Booster meningitis B vaccination declined
1537	401141001	Parental concern about child
1538	861471000000108	Application for disabled driver parking permit (procedure)
1539	134271000	Reads Somali
1540	981781000000107	Uses Deafblind Manual Alphabet (finding)
1541	14431000000106	FP22 - internal transfer address change (finding)
1542	823431000000101	Provision of patient decision aid (procedure)
1543	226234005	Healthy diet (finding)
1544	160734000	Lives in nursing home (finding)
1545	1083431000000109	Signposting to weight management service
1546	183073003	Patient advised about exercise
1547	1324791000000106	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination second dose not given
1548	170771004	Diabetic - follow-up default
1549	160770002	Social worker involved (finding)
1550	980621000000105	NHS Health Check invitation email
1551	278414003	Pain management (procedure)
1552	307171000000108	Did not attend diabetes education and self management for ongoing and newly diagnosed structured programme (finding)
1553	185666009	BP screen - 2nd call
1554	367336001	Chemotherapy
1555	200841000000102	Third pneumococcal vaccination invitation letter sent
1556	1085101000000107	Signposting to general practice based pharmacist (procedure)
1557	42035005	Bisexual (finding)
1558	1.08417E+15	Signposting to alcohol misuse service
1559	270459005	Patient on waiting list (finding)
1560	165241007	Toilet dependency (finding)
1561	39375311000001106	Generic COVID-19 mRNA (nucleoside modified) Vaccine Moderna 0.1mg/0.5ml dose dispersion for injection multidose vials 10 dose (product)
1562	43396009	Hemoglobin A1c measurement (procedure)
1563	305371000000101	Pulmonary rehabilitation declined (situation)
1564	58972000	Dribbling of urine
1565	977411000000108	Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census
1566	515711000000105	Family history of myocardial infarction in second degree relative less than 50 years (situation)
1567	353091000000109	General practitioner appointment not available (finding)
1568	505651000000103	Current smoker annual review
1569	344151000000101	Church of England
1570	2528003	Viraemia
1571	72313002	Systolic arterial pressure
1572	413739009	Cancer monitoring invitation
1573	882591000000103	Referral for spirometry reversibility testing (procedure)
1574	408508002	Has shown no side effects from medication (finding)
1575	1.32279E+15	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antigen detection result negative
1576	1300591000000101	Low risk category for developing complication from COVID-19 infection
1577	763185005	Dermatology Life Quality Index score (observable entity)
1578	1300731000000106	COVID-19 confirmed using clinical diagnostic criteria
1579	171044003	Immunisation education
1580	886371000000105	On drug therapy for attention deficit hyperactivity disorder (situation)
1581	401252001	Coronary heart disease monitoring third letter
1582	311677003	Swallowing promotion therapy (regime/therapy)
1583	168732002	Standard Chest X-ray requested
1584	307927003	Patient registered
1585	69878008	Polycystic ovaries (disorder)
1586	202071000000100	Epilepsy monitoring call 2nd letter
1587	1104161000000102	Signposting to Veterans' Gateway (procedure)
1588	407585000	Seizure free > 12 months (finding)
1589	248171000000108	Lives in care home (finding)
1590	985151000000100	Administration of first inactivated seasonal influenza vaccination (procedure)
1591	185421006	Appointment made by letter (finding)
1592	81953000	Chest pain on exertion (finding)
1593	472971004	History of gestational diabetes mellitus (situation)
1594	1036481000000106	Self-referral to IAPT
1595	1.09257E+15	Employed by nursing home (finding)
1596	375731000000107	Cardiovascular disease high risk monitoring invitation first letter (procedure)
1597	1104081000000107	Chaperone offered (situation)
1598	70691001	Agoraphobia
1599	860021000000109	Date of entry to United Kingdom (observable entity)
1600	395170001	Medication monitoring (regime/therapy)
1601	284350006	Diabetes mellitus diet education (procedure)
1602	413597006	Attended diabetes structured education program (finding)
1603	733810001	Provision of support for self-management
1604	313209004	Infant weaning education (procedure)
1605	711561000000100	Cervical smear screening first letter
1606	185605005	Cervical smear recall - 3rd recall
1607	165581004	International normalized ratio (observable entity)
1608	275982002	Cervical smear non responder
1609	95394008	Injection site urticaria (disorder)
1610	749051000000100	Review appointment (record artifact)
1611	415270003	Referral to diabetes structured education program
1612	390940007	Asthma monitoring due (finding)
1613	394707001	No history of migraine (situation)
1614	712741005	Risk assessment done
1615	202201000000100	Cancer screening leaflet given
1616	1217105006	Prescription given (situation)
1617	781471000000108	Over 75 health check invitation
1618	736815004	DNA abdominal aortic aneurysm (AAA) screening
1619	294261000000108	Did not attend bowel cancer screening
1620	167225007	Mid stream urine is abnormal
1621	1066851000000106	COPD (chronic obstructive pulmonary disease) monitoring SMS (short message service) text message third invitation
1622	308435009	Referral to practice nurse (procedure)
1623	431260004	Referral to specialist alcohol treatment service (procedure)
1624	527151000000107	Smoking cessation advice declined (situation)
1625	698472009	Blood glucose monitoring (regime/therapy)
1626	408432006	Advice to carer regarding child's minor illnesses
1627	160274005	No family history diabetes
1628	716381000000107	Letter with patient (record artifact)
1629	1300721000000109	COVID-19 confirmed by laboratory test
1630	716721000000107	Atrial fibrillation monitoring telephone invitation
1631	714971000000104	Cervical smear screening administration (record artifact)
1632	417312002	Suspected hypertension (situation)
1633	418043000	Advice given
1634	894841000000100	Spirometry reversibility test invitation
1635	315241000000102	Advised to self care
1636	308535007	Screening call (procedure)
1637	391126003	Medical Research Council Breathlessness Scale grade 5
1638	225390008	Triage (procedure)
1639	13311000000105	Disciplinary warning (procedure)
1640	441092009	Does lip read (finding)
1641	160575005	Light drinker - 1-2u/day (finding)
1642	976771000000108	Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census
1643	1326371000000104	Dry powder inhaler not indicated
1644	201201000000105	Asthma trigger - damp
1645	201751000000104	Did not attend retinal screening
1646	90781000119102	Microalbuminuria due to type 2 diabetes mellitus (disorder)
1647	401271004	E-mail sent to patient
1648	417576009	Deferred antibiotic therapy
1649	716181000000109	Atrial fibrillation monitoring third letter
1650	772741000000105	Dispensing review of use of medicines invitation
1651	161034004	Not willing to be a donor (finding)
1652	243784002	Child Health Data
1653	263536004	Communication (attribute)
1654	185625009	Cervical smear disclaimer received (finding)
1655	978361000000101	Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census
1656	520391000000100	Preferred method of communication: speech (finding)
1657	774581000000102	Did not attend fast track suspected cancer clinic
1658	135844000	Assessment of needs of caregiver completed (situation)
1659	522261000000101	NHS Health Check verbal invitation
1660	1084241000000101	Signposting to prescription clerk (procedure)
1661	198331000000103	Minor surgery planned (situation)
1662	1097221000000104	Provision of information about Join Dementia Research (procedure)
1663	185681003	Chronic disease monitoring - third recall
1664	440621003	Referral declined by patient
1665	697990000	Decreased sense of taste
1666	1268646002	Gestational diabetes mellitus screening (procedure)
1667	390925005	Did not attend hypertension clinic
1668	1091811000000102	Diastolic arterial pressure
1669	516401000000106	Attention deficit hyperactivity disorder monitoring invitation first letter
1670	888901000000102	Initial memory assessment (procedure)
1671	170601008	Coronary heart disease monitoring (regime/therapy)
1672	200811000000103	First pneumococcal vaccination invitation letter sent
1673	1047281000000107	Does not speak English (finding)
1674	422650009	Social isolation (finding)
1675	183095004	Usual warning given (situation)
1676	134282008	Reads Chinese
1677	400992001	Refer to community physiotherapist
1678	810901000000102	Asthma self-management plan review
1679	522351000000107	Did not attend National Health Service Health Check (finding)
1680	523261000000108	National Health Service Health Check telephone invitation (procedure)
1681	1324731000000105	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) immunisation course not indicated
1682	908481000000105	Informing patient of named accountable General Practitioner
1683	301807007	Removal of subcutaneous contraceptive (procedure)
1684	160593006	Alcohol intake within recommended sensible limits
1685	1484841000000106	Influenza vaccination invitation second short message service text message sent (situation)
